Zipcode,Crime
76574,17
78610,116
78612,11
78613,7430
78615,4
78617,15745
78619,1
78620,17
78621,28
78626,3
78628,1
78634,5
78640,15
78641,65
78642,2
78645,23
78652,603
78653,1573
78654,1
78660,6053
78664,361
78669,9
78681,200
78701,157861
78702,129162
78703,32285
78704,143411
78705,52923
78712,341
78713,12
78717,11249
78719,11150
78721,43817
78722,19090
78723,110111
78724,34750
78725,3124
78726,10374
78727,32991
78728,1251
78729,22650
78730,2689
78731,25539
78732,270
78733,305
78734,100
78735,14183
78736,4187
78737,199
78738,43
78739,5751
78741,193191
78742,2861
78744,116610
78745,139674
78746,25931
78747,11722
78748,61902
78749,37686
78750,21226
78751,59537
78752,79713
78753,162953
78754,19702
78756,16895
78757,53057
78758,144884
78759,61384
