Zipcode,Housingunits
76511,945
76527,"1,628"
76530,"1,100"
76537,"1,481"
76573,17
76574,"7,089"
76577,"1,382"
76578,717
78602,"9,845"
78610,"8,184"
78612,"4,274"
78613,"24,120"
78615,559
78616,"2,573"
78617,"6,027"
78619,"1,259"
78620,"5,633"
78621,"7,955"
78622,126
78623,428
78626,"9,146"
78628,"9,532"
78632,508
78633,"9,428"
78634,"7,884"
78640,"13,673"
78641,"15,749"
78642,"3,484"
78644,"6,178"
78645,"5,698"
78648,"3,112"
78650,776
78652,"1,823"
78653,"5,532"
78654,"8,662"
78655,"1,100"
78656,833
78659,"1,363"
78660,"23,950"
78661,128
78662,"1,012"
78663,442
78664,"19,894"
78665,"12,870"
78666,"24,433"
78669,"4,752"
78676,"6,393"
78681,"17,971"
78701,"5,036"
78702,"9,032"
78703,"10,425"
78704,"23,575"
78705,"11,265"
78712,0
78717,"9,055"
78719,586
78721,"4,153"
78722,"3,034"
78723,"12,398"
78724,"6,138"
78725,"1,978"
78726,"5,910"
78727,"12,984"
78728,"10,240"
78729,"13,284"
78730,"3,647"
78731,"12,984"
78732,"5,033"
78733,"3,122"
78734,"8,345"
78735,"7,572"
78736,"2,806"
78737,"4,395"
78738,"4,799"
78739,"5,537"
78741,"20,500"
78742,322
78744,"13,720"
78745,"25,749"
78746,"11,520"
78747,"5,491"
78748,"16,857"
78749,"14,857"
78750,"11,723"
78751,"8,375"
78752,"7,944"
78753,"19,630"
78754,"6,492"
78756,"4,396"
78757,"10,898"
78758,"19,577"
78759,"20,640"
78941,"1,666"
78942,"3,712"
78945,"5,374"
78953,503
78957,"4,354"
78959,969
