neighbourhood,price_night,listings_w_high_availability
78701,340,57.6
78702,316,58.5
78703,473,60.7
78704,326,59.1
78705,201,45.7
78712,243,33.3
78717,115,69.7
78719,198,71.4
78721,231,48.7
78722,217,50.4
78723,241,55
78724,185,64.3
78725,144,63.6
78726,178,70.4
78727,112,64.8
78728,150,58.8
78729,105,63.2
78730,782,60.6
78731,359,61.4
78732,366,81.5
78733,602,84.9
78734,336,86.5
78735,320,61.8
78736,251,79.6
78737,310,86.2
78738,344,64.3
78739,340,72.3
78741,195,48.7
78742,125,85.7
78744,137,61
78745,169,57.6
78746,716,63.8
78747,162,65
78748,153,63.2
78749,235,51.7
78750,250,70.4
78751,158,56.1
78752,145,51
78753,150,60.2
78754,128,48.8
78756,227,64.7
78757,173,54.5
78758,118,55.8
78759,153,49.2
